Time [s],TX hub @ 115200,RX hub @ 115200
1.932016607,0,0
1.958119000,1,0
1.958124750,1,1
1.958148500,0,1
1.960011000,1,1
1.964783750,1,0
1.976010250,0,0
1.978011000,1,0
1.994013000,0,0
1.996013250,1,0
2.012014750,0,0
2.014015500,1,0
2.027965750,1,1
2.029587250,1,0
2.030017750,0,0
2.032017750,1,0
2.048019000,0,0
2.050020750,1,0
2.066022500,0,0
2.068022000,1,0
2.084023500,0,0
2.086025750,1,0
2.102025750,0,0
2.104026500,1,0
2.120028250,0,0
2.122028500,1,0
2.138030000,0,0
2.140031500,1,0
2.156032250,0,0
2.158033000,1,0
2.174034500,0,0
2.176035250,1,0
2.192036500,0,0
2.194037500,1,0
2.210039750,0,0
2.212039500,1,0
2.228041000,0,0
2.230042750,1,0
2.246042500,0,0
2.248044000,1,0
2.264045500,0,0
2.266045500,1,0
2.282047500,0,0
2.284048500,1,0
2.300051500,0,0
2.302050500,1,0
2.318052000,0,0
2.320055000,1,0
2.334080500,0,0
2.334098000,1,0
2.334106500,0,0
2.334124000,1,0
2.334132750,0,0
2.334141250,1,0
2.334150000,0,0
2.334158750,1,0
2.334167500,0,0
2.334245500,1,0
2.334254250,0,0
2.334271750,1,0
2.334280250,0,0
2.334315000,1,0
2.334341250,0,0
2.334349750,1,0
2.334358500,0,0
2.334419250,1,0
2.334428000,0,0
2.334506250,1,0
2.334515000,0,0
2.334532250,1,0
2.334558500,0,0
2.334567000,1,0
2.334584500,0,0
2.334593250,1,0
2.334639000,1,1
2.334725750,1,0
2.334751750,1,1
2.334760500,1,0
2.334803750,1,1
2.343115250,1,0
2.343750250,1,1
2.344825750,1,0
2.344886500,1,1
2.344895000,1,0
2.344903750,1,1
2.344912500,1,0
2.344921000,1,1
2.344938500,1,0
2.344947250,1,1
2.344955750,1,0
2.344973250,1,1
2.344981750,1,0
2.344990500,1,1
2.344999250,1,0
2.345025250,1,1
2.345034000,1,0
2.345042500,1,1
2.346863750,1,0
2.346872500,1,1
2.346881250,1,0
2.346898500,1,1
2.346907250,1,0
2.346924500,1,1
2.346933250,1,0
2.346942000,1,1
2.346950500,1,0
2.346959250,1,1
2.346968000,1,0
2.346976500,1,1
2.346985250,1,0
2.347028750,1,1
2.347037250,1,0
2.347046000,1,1
2.347063250,1,0
2.347115500,1,1
2.347124000,1,0
2.347167500,1,1
2.347184750,1,0
2.347193500,1,1
2.348893250,1,0
2.348910500,1,1
2.348919250,1,0
2.348936500,1,1
2.348945250,1,0
2.348954000,1,1
2.348962500,1,0
2.348971250,1,1
2.348980000,1,0
2.349058000,1,1
2.349066750,1,0
2.349084000,1,1
2.349092750,1,0
2.349127250,1,1
2.349153250,1,0
2.349162000,1,1
2.349170750,1,0
2.349231500,1,1
2.349240000,1,0
2.349318250,1,1
2.349326750,1,0
2.349344250,1,1
2.349370250,1,0
2.349378750,1,1
2.349396250,1,0
2.349404750,1,1
2.350940000,1,0
2.350948750,1,1
2.350992000,1,0
2.351000750,1,1
2.351009250,1,0
2.351018000,1,1
2.351026750,1,0
2.351052750,1,1
2.351061500,1,0
2.351104750,1,1
2.351113500,1,0
2.351191500,1,1
2.351200250,1,0
2.351278250,1,1
2.351287000,1,0
2.351365000,1,1
2.351373500,1,0
2.351451750,1,1
2.351460250,1,0
2.351538500,1,1
2.351547000,1,0
2.351625000,1,1
2.351633750,1,0
2.351677250,1,1
2.351685750,1,0
2.351711750,1,1
2.351720500,1,0
2.351746500,1,1
2.351755250,1,0
2.351763750,1,1
2.351781250,1,0
2.351789750,1,1
2.370279250,1,0
2.370288000,1,1
2.370296750,1,0
2.370305250,1,1
2.370314000,1,0
2.370331250,1,1
2.370340000,1,0
2.370348750,1,1
2.370366000,1,0
2.370444000,1,1
2.370452750,1,0
2.370461500,1,1
2.370478750,1,0
2.370496250,1,1
2.370504750,1,0
2.370513500,1,1
2.370522250,1,0
2.370530750,1,1
2.370539500,1,0
2.370565500,1,1
2.370574250,1,0
2.370582750,1,1
2.370591500,1,0
2.370600250,1,1
2.370609000,1,0
2.370617500,1,1
2.370626250,1,0
2.370635000,1,1
2.370643500,1,0
2.370687000,1,1
2.370695750,1,0
2.370704250,1,1
2.370713000,1,0
2.370739000,1,1
2.370747750,1,0
2.370756250,1,1
2.370765000,1,0
2.370773750,1,1
2.370782500,1,0
2.370791000,1,1
2.370799750,1,0
2.370808500,1,1
2.370825750,1,0
2.370843000,1,1
2.370851750,1,0
2.370860500,1,1
2.370869000,1,0
2.370877750,1,1
2.370886500,1,0
2.370964500,1,1
2.370973250,1,0
2.371051250,1,1
